UI Physical buttons  All off: 
2021-10-19T16:50:57.385373265+00:00 INFO zigbee-tuya-switch  <ZigbeeDevice: a1fc1da6-8daa-45fa-abae-9866f3f7b34b [0x04BA] (Luce Bagno giorno)> received Zigbee message: < ZigbeeMessageRx || type: 0x00, < AddressHeader || src_addr: 0x04BA, src_endpoint: 0x0B, dest_addr: 0x0000, dest_endpoint: 0x01, profile: 0x0104, cluster: OnOff >, lqi: 0x94, rssi: -63, body_length: 0x0007, < ZCLMessageBody || < ZCLHeader || frame_ctrl: 0x08, seqno: 0x8C, ZCLCommandId: 0x0A >, < ReportAttribute || < AttributeRecord || AttributeId: 0x0000, DataType: Boolean, OnOff: true > > > >
2021-10-19T16:50:57.413001932+00:00 INFO zigbee-tuya-switch  <<---- Moon ---->> is_one_switch : false
2021-10-19T16:50:57.419111265+00:00 INFO zigbee-tuya-switch  <<---- Moon ---->> is_multi_switch : false
2021-10-19T16:50:57.436240265+00:00 INFO zigbee-tuya-switch  <<---- Moon ---->> is_one_switch : false
2021-10-19T16:50:57.447171598+00:00 INFO zigbee-tuya-switch  <<---- Moon ---->> is_multi_switch : false
2021-10-19T16:50:57.453749932+00:00 TRACE zigbee-tuya-switch  Found ZigbeeMessageDispatcher handler in zigbee-tuya-switch
2021-10-19T16:50:57.459538598+00:00 INFO zigbee-tuya-switch  Executing ZclClusterAttributeValueHandler: cluster: OnOff, attribute: OnOff
2021-10-19T16:50:57.474377598+00:00 INFO zigbee-tuya-switch  <ZigbeeDevice: a1fc1da6-8daa-45fa-abae-9866f3f7b34b [0x04BA] (Luce Bagno giorno)> emitting event: {"capability_id":"switch","state":{"value":"on"},"attribute_id":"switch","component_id":"main"}
2021-10-19T16:50:57.501413598+00:00 DEBUG zigbee-tuya-switch  Luce Bagno giorno device thread event handledlistening for logs...   Button 1 pressed (OFF):
2021-10-19T16:50:57.360336265+00:00 TRACE zigbee-tuya-switch  Received event with handler zigbee
2021-10-19T16:50:57.385373265+00:00 INFO zigbee-tuya-switch  <ZigbeeDevice: a1fc1da6-8daa-45fa-abae-9866f3f7b34b [0x04BA] (Luce Bagno giorno)> received Zigbee message: < ZigbeeMessageRx || type: 0x00, < AddressHeader || src_addr: 0x04BA, src_endpoint: 0x0B, dest_addr: 0x0000, dest_endpoint: 0x01, profile: 0x0104, cluster: OnOff >, lqi: 0x94, rssi: -63, body_length: 0x0007, < ZCLMessageBody || < ZCLHeader || frame_ctrl: 0x08, seqno: 0x8C, ZCLCommandId: 0x0A >, < ReportAttribute || < AttributeRecord || AttributeId: 0x0000, DataType: Boolean, OnOff: true > > > >
2021-10-19T16:50:57.413001932+00:00 INFO zigbee-tuya-switch  <<---- Moon ---->> is_one_switch : false
2021-10-19T16:50:57.419111265+00:00 INFO zigbee-tuya-switch  <<---- Moon ---->> is_multi_switch : false
2021-10-19T16:50:57.436240265+00:00 INFO zigbee-tuya-switch  <<---- Moon ---->> is_one_switch : false
2021-10-19T16:50:57.447171598+00:00 INFO zigbee-tuya-switch  <<---- Moon ---->> is_multi_switch : false
2021-10-19T16:50:57.453749932+00:00 TRACE zigbee-tuya-switch  Found ZigbeeMessageDispatcher handler in zigbee-tuya-switch
2021-10-19T16:50:57.459538598+00:00 INFO zigbee-tuya-switch  Executing ZclClusterAttributeValueHandler: cluster: OnOff, attribute: OnOff
2021-10-19T16:50:57.474377598+00:00 INFO zigbee-tuya-switch  <ZigbeeDevice: a1fc1da6-8daa-45fa-abae-9866f3f7b34b [0x04BA] (Luce Bagno giorno)> emitting event: {"capability_id":"switch","state":{"value":"on"},"attribute_id":"switch","component_id":"main"}
2021-10-19T16:50:57.501413598+00:00 DEBUG zigbee-tuya-switch  Luce Bagno giorno device thread event handled
2021-10-19T16:51:22.759544926+00:00 TRACE zigbee-tuya-switch  Received event with handler zigbee health poll
2021-10-19T16:51:52.759775585+00:00 TRACE zigbee-tuya-switch  Received event with handler zigbee health poll
2021-10-19T16:52:22.783719245+00:00 TRACE zigbee-tuya-switch  Received event with handler zigbee health poll
2021-10-19T16:52:52.782586111+00:00 TRACE zigbee-tuya-switch  Received event with handler zigbee
2021-10-19T16:52:52.797426528+00:00 INFO zigbee-tuya-switch  <ZigbeeDevice: a1fc1da6-8daa-45fa-abae-9866f3f7b34b [0x04BA] (Luce Bagno giorno)> received Zigbee message: < ZigbeeMessageRx || type: 0x00, < AddressHeader || src_addr: 0x04BA, src_endpoint: 0x0B, dest_addr: 0x0000, dest_endpoint: 0x01, profile: 0x0104, cluster: OnOff >, lqi: 0x90, rssi: -64, body_length: 0x0007, < ZCLMessageBody || < ZCLHeader || frame_ctrl: 0x08, seqno: 0x03, ZCLCommandId: 0x0A >, < ReportAttribute || < AttributeRecord || AttributeId: 0x0000, DataType: Boolean, OnOff: false > > > >
2021-10-19T16:52:52.811692657+00:00 INFO zigbee-tuya-switch  <<---- Moon ---->> is_one_switch : false
2021-10-19T16:52:52.817612616+00:00 INFO zigbee-tuya-switch  <<---- Moon ---->> is_multi_switch : false
2021-10-19T16:52:52.824042829+00:00 INFO zigbee-tuya-switch  <<---- Moon ---->> is_one_switch : false
2021-10-19T16:52:52.830721167+00:00 INFO zigbee-tuya-switch  <<---- Moon ---->> is_multi_switch : false
2021-10-19T16:52:52.837115029+00:00 TRACE zigbee-tuya-switch  Found ZigbeeMessageDispatcher handler in zigbee-tuya-switch
2021-10-19T16:52:52.843361817+00:00 INFO zigbee-tuya-switch  Executing ZclClusterAttributeValueHandler: cluster: OnOff, attribute: OnOff
2021-10-19T16:52:52.851096683+00:00 INFO zigbee-tuya-switch  <ZigbeeDevice: a1fc1da6-8daa-45fa-abae-9866f3f7b34b [0x04BA] (Luce Bagno giorno)> emitting event: {"capability_id":"switch","state":{"value":"off"},"attribute_id":"switch","component_id":"main"}
2021-10-19T16:52:52.901651281+00:00 DEBUG zigbee-tuya-switch  Luce Bagno giorno device thread event handled
2021-10-19T16:52:52.919352794+00:00 TRACE zigbee-tuya-switch  Received event with handler zigbee health poll
2021-10-19T16:52:53.233273676+00:00 TRACE zigbee-tuya-switch  Received event with handler zigbee
